persona_key,전체 후보 수,아우터,상의,하의,신발,액세서리,5개 미만 카테고리,25개 미만 카테고리
women::클래식,44,20,20,3,0,1,"하의, 신발, 액세서리","아우터, 상의, 하의, 신발, 액세서리"
women::프레피룩,59,20,21,11,1,6,신발,"아우터, 상의, 하의, 신발, 액세서리"
women::미니멀,114,22,23,23,23,23,,"아우터, 상의, 하의, 신발, 액세서리"
women::워크웨어,110,21,22,22,22,23,,"아우터, 상의, 하의, 신발, 액세서리"
women::레트로,107,21,22,21,21,22,,"아우터, 상의, 하의, 신발, 액세서리"
women::고프코어,113,23,23,22,23,22,,"아우터, 상의, 하의, 신발, 액세서리"
women::걸리시,105,16,22,22,23,22,,"아우터, 상의, 하의, 신발, 액세서리"
women::시크,101,22,21,22,21,15,,"아우터, 상의, 하의, 신발, 액세서리"
women::스트릿,58,10,23,21,3,1,"신발, 액세서리","아우터, 상의, 하의, 신발, 액세서리"
women::스포티,108,22,20,22,22,22,,"아우터, 상의, 하의, 신발, 액세서리"
women::캐주얼,72,8,22,22,16,4,액세서리,"아우터, 상의, 하의, 신발, 액세서리"
